CustomerID,Name,Age,Gender,EducationQualification,MonthlyEarning,MonthlyExpenditure,EmploymentStatus,EmploymentDuration,RentPaymentHistory,UtilityPaymentHistory,IncomeToExpenditureRatio,CreditPaymentHistory,CreditCardLimitUsage,CreditMix,CreditHistoryLength,InsuranceConsistency,NewCredit,CreditScore
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Michelle Prince,56,Male,Diploma,8135,6899.67,Self-Employed,5+ years,Fair(80-70% on-time),Excellent (100% on-time),1.18,Always On Time,0.05192,Only Loans,3-5 Years,All Active and Paid On Time,17,77.94
23b8c1e9-3924-46de-beb1-3b9046685257,Diana Mullins,69,Male,PhD,8077,4969.1,Part-Time,Less than 6 months,Poor(<70% on-time),Fair(80-70% on-time),1.63,3-5 Late Payments in Last 12 Months,0.31938,Credit Card + Multiple Loan Types,3-5 Years,All Active and Paid On Time,20,63.6
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Brittany Ballard,46,Female,Postgraduate,13993,10284.1,Part-Time,5+ years,Excellent (100% on-time),No History,1.36,Defaulted/Collection,0.71299,Credit Card + One Loan Type,5-10 Years,Some Regular Policies,51,42.13
972a8469-1641-4f82-8b9d-2434e465e150,Matthew Freeman,32,Female,Graduate,9410,5284.93,Contract,6-12 months,Excellent (100% on-time),Fair(80-70% on-time),1.78,1-2 Late Payments in Last 12 Months,0.50742,Credit Card + One Loan Type,3-5 Years,Some Regular Policies,20,62.32
17fc695a-07a0-4a6e-8822-e8f36c031199,Amy Baker,60,Female,High School,12681,8597.98,Unemployed,1-2 years,Fair(80-70% on-time),Excellent (100% on-time),1.47,1-2 Late Payments in Last 12 Months,0.48809,Only Loans,5-10 Years,Irregular Payments/Expired,18,58.13
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Elizabeth Skinner MD,25,Female,High School,6520,3288.33,Full-Time,Less than 6 months,Excellent (100% on-time),Good (90-80% on-time),1.98,3-5 Late Payments in Last 12 Months,0.15241,Only Loans,3-5 Years,All Active and Paid On Time,1,68.03
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Riley Davenport,38,Female,High School,13540,6508.62,Full-Time,5+ years,Good (90-80% on-time),Good (90-80% on-time),2.08,1-2 Late Payments in Last 12 Months,0.35145,Credit Card + Multiple Loan Types,<6 Months,Some Regular Policies,77,59.71
6b65a6a4-8b81-48f6-b38a-088ca65ed389,Carla Briggs,56,Male,Postgraduate,14589,9438.18,Unemployed,2-5 years,Fair(80-70% on-time),Fair(80-70% on-time),1.55,1-2 Late Payments in Last 12 Months,0.95889,Credit Card + One Loan Type,<6 Months,All Active but One Missed Renewal,14,47.39
47378190-96da-4dac-b2ff-5d2a386ecbe0,Diana Myers,36,Male,Graduate,8606,5153.94,Part-Time,5+ years,Excellent (100% on-time),Excellent (100% on-time),1.67,Always On Time,0.34056,Only Loans,1-3 Years,Some Regular Policies,57,66.74
c241330b-01a9-471f-9e8a-774bcf36d58b,Paul Blair,40,Male,Postgraduate,10515,6810.79,Full-Time,2-5 years,Excellent (100% on-time),Good (90-80% on-time),1.54,1-2 Late Payments in Last 12 Months,0.59143,Only Credit Card,3-5 Years,All Active but One Missed Renewal,30,60.69
